Full Country Name,State/Province Code,Parent Chain Name,City,Property Name,Property Address
Algeria, ,Hilton Hotels,Alger,Hilton Alger Hotel,Pins Maritimes El Mohammadia
Algeria, ,Starwood,Oran,Sheraton Oran Hotel & Towers,Rte Des Falaises
Angola, ,Sana Hotels,Luanda,EPIC SANA Luanda Hotel,Rua da Missao
Argentina, ,Hilton Hotels,Buenos Aires,Hilton Buenos Aires,Macacha Guemes 351
Argentina, ,Starwood,Buenos Aires,Sheraton Buenos Aires Hotel/Conv Center,San Martin 1225
Argentina, ,World Hotels,Buenos Aires,Hotel Madero,Rosario Vera Penaloza 360
Argentina, ,Accor Hotels,Buenos Aires,Sofitel Buenos Aires,841 Arroyo
Argentina, ,Starwood,Buenos Aires,Sheraton Libertador Hotel,Avenida Cordoba 690
Argentina, ,Melia Hotels,Buenos Aires,Melia Buenos Aires,Reconquista 945
Argentina, ,TravelClick,Buenos Aires,Plaza Hotel Buenos Aires,Florida 1005
Argentina, ,TravelClick,Buenos Aires,Emperador Hotel Buenos Aires,Avenida Libertador 420
Argentina, ,InterContinental Hotels Group,Buenos Aires,Intercontinental Buenos Aires,Moreno 809
Argentina, ,Synxis Corporation,Buenos Aires,Pestana Buenos Aires,877 Carlos Pellegrini St
Argentina, ,InterContinental Hotels Group,Buenos Aires,Holiday Inn Express Puerto Madero,Av. Leandro N. Alem 770
Argentina, ,NH Hotel Group,Buenos Aires,NH Collection Buenos Aires Lancaster,AV Cordoba 405
Argentina, ,Wyndham Hotel Group,Buenos Aires,Tryp Buenos Aires,San Martin 474
Argentina, ,Starwood,Cordoba,Sheraton Cordoba Hotel,Avenida Duarte Quiros 1300
Argentina, ,InterContinental Hotels Group,Cordoba,Holiday Inn Cordoba,Centro Comercial Libertad
Argentina, ,Accor Hotels,Mendoza,Ibis Mendoza,Lateral Sur  Acceso Este 4242
Argentina, ,Starwood,Mendoza,Sheraton Mendoza Hotel,Primitivo De La Reta 989
Argentina, ,InterContinental Hotels Group,Mendoza,InterContinental MENDOZA,Blvd Perez Cuesta Esq Acceso
Argentina, ,InterContinental Hotels Group,Nordelta,InterContinental Nordelta Buenos Aires,Avenida Del Puerto 240 Bahia Grande
Argentina, ,InterContinental Hotels Group,Rosario,Holiday Inn Rosario,Dorrego 450
Australia,ACT,Synxis Corporation,Barton,Realm Hotel,18 National Circuit
Australia,ACT,Accor Hotels,Braddon,Mercure Canberra,Corner Of Ainslie
Australia,ACT,Hyatt Hotels And Resorts,Canberra,Hyatt Hotel Canberra A Park Hyatt,Commonwealth Ave
Australia,ACT,InterContinental Hotels Group,Canberra,Crowne Plaza Canberra,1 Binara St
Australia,ACT,TFE-Toga Far East,Canberra,Medina Serviced Apartments Canberra,11 Giles St
Australia,ACT,Accor Hotels,Canberra,Novotel Canberra,65 Northbourne Ave
Australia,ACT,TravelClick,Canberra,Clifton Suites on Northbourne,100 Northbourne Ave
Australia,ACT,TravelClick,Canberra,Avenue Hotel Canberra,80 Northbourne Avenue
Australia,ACT,QT Hotels,Canberra,QT Canberra,London Circuit
Australia,ACT,TFE-Toga Far East,Canberra,"Medina Serviced Apartments Canberra, James Court",74 Northbourne Ave
Australia,ACT,Rydges Hotel Group,Forrest,Rydges Capital Hill,17 Canberra Ave
Australia,ACT,TravelClick,Kingston,East Hotel,69 Canberra Avenue
Australia,NSW,TFE-Toga Far East,Castle Hill,Adina Apartment Hotel Sydney Norwest,22 Brookhollow Ave Norwest Business Park
Australia,NSW,TFE-Toga Far East,North Ryde,Medina Serviced Apartments North Ryde,2-12 Busaco Road
